stage_id, group_id
6000001, wave_campaign_normal_001
6000002, wave_campaign_normal_001
6000003, wave_campaign_normal_001
6001001, wave_campaign_normal_001
6001002, wave_campaign_normal_001
6001003, wave_campaign_normal_001
6001004, wave_campaign_normal_001
6001005, wave_campaign_normal_001
6002001, wave_campaign_normal_001
6002002, wave_campaign_normal_001
6002003, wave_campaign_normal_001
6002004, wave_campaign_normal_001
6002005, wave_campaign_normal_001
6002006, wave_campaign_normal_001
6002007, wave_campaign_normal_001
6002008, wave_campaign_normal_001
6002009, wave_campaign_normal_001
6002010, wave_campaign_normal_001
6002011, wave_campaign_normal_001
6002012, wave_campaign_normal_001
6002013, wave_campaign_normal_001
6002014, wave_campaign_normal_001
6002015, wave_campaign_normal_001
6002016, wave_campaign_normal_001
6002017, wave_campaign_normal_001
6002018, wave_campaign_normal_001
6002019, wave_campaign_normal_001
6003001, wave_campaign_normal_001
6003002, wave_campaign_normal_001
6003003, wave_campaign_normal_001
6003004, wave_campaign_normal_001
6003005, wave_campaign_normal_001
6003006, wave_campaign_normal_001
6003007, wave_campaign_normal_001
6003008, wave_campaign_normal_001
6003009, wave_campaign_normal_001
6003010, wave_campaign_normal_001
6003011, wave_campaign_normal_001
6003012, wave_campaign_normal_001
6003013, wave_campaign_normal_001
6003014, wave_campaign_normal_001
6003015, wave_campaign_normal_001
6003016, wave_campaign_normal_001
6003017, wave_campaign_normal_001
6003018, wave_campaign_normal_001
6003019, wave_campaign_normal_001
6003020, wave_campaign_normal_001
6003021, wave_campaign_normal_001
6003022, wave_campaign_normal_001
6003023, wave_campaign_normal_001
6003024, wave_campaign_normal_001
6004001, wave_campaign_normal_001
6004002, wave_campaign_normal_001
6004003, wave_campaign_normal_001
6004004, wave_campaign_normal_001
6004005, wave_campaign_normal_001
6004006, wave_campaign_normal_001
6004007, wave_campaign_normal_001
6004008, wave_campaign_normal_001
6004009, wave_campaign_normal_001
6004010, wave_campaign_normal_001
6004011, wave_campaign_normal_001
6004012, wave_campaign_normal_001
6004013, wave_campaign_normal_001
6004014, wave_campaign_normal_001
6004015, wave_campaign_normal_001
6004016, wave_campaign_normal_001
6004017, wave_campaign_normal_001
6004018, wave_campaign_normal_001
6004019, wave_campaign_normal_001
6004020, wave_campaign_normal_001
6004021, wave_campaign_normal_001
6004022, wave_campaign_normal_001
6004023, wave_campaign_normal_001
6004024, wave_campaign_normal_001
6004025, wave_campaign_normal_001
6004026, wave_campaign_normal_001
6004027, wave_campaign_normal_001
6005001, wave_campaign_normal_002
6005002, wave_campaign_normal_002
6005003, wave_campaign_normal_002
6005004, wave_campaign_normal_002
6005005, wave_campaign_normal_002
6005006, wave_campaign_normal_002
6005007, wave_campaign_normal_002
6005008, wave_campaign_normal_002
6005009, wave_campaign_normal_002
6005010, wave_campaign_normal_002
6005011, wave_campaign_normal_002
6005012, wave_campaign_normal_002
6005013, wave_campaign_normal_002
6005014, wave_campaign_normal_002
6005015, wave_campaign_normal_002
6005016, wave_campaign_normal_002
6005017, wave_campaign_normal_002
6005018, wave_campaign_normal_002
6005019, wave_campaign_normal_002
6005020, wave_campaign_normal_002
6005021, wave_campaign_normal_002
6005022, wave_campaign_normal_002
6005023, wave_campaign_normal_002
6005024, wave_campaign_normal_002
6005025, wave_campaign_normal_002
6005026, wave_campaign_normal_002
6005027, wave_campaign_normal_002
6005028, wave_campaign_normal_002
6005029, wave_campaign_normal_002
6005030, wave_campaign_normal_002
6005031, wave_campaign_normal_002
6006001, wave_campaign_normal_002
6006002, wave_campaign_normal_002
6006003, wave_campaign_normal_002
6006004, wave_campaign_normal_002
6006005, wave_campaign_normal_002
6006006, wave_campaign_normal_002
6006007, wave_campaign_normal_002
6006008, wave_campaign_normal_002
6006009, wave_campaign_normal_002
6006010, wave_campaign_normal_002
6006011, wave_campaign_normal_002
6006012, wave_campaign_normal_002
6006013, wave_campaign_normal_002
6006014, wave_campaign_normal_002
6006015, wave_campaign_normal_002
6006016, wave_campaign_normal_002
6006017, wave_campaign_normal_002
6006018, wave_campaign_normal_002
6006019, wave_campaign_normal_002
6006020, wave_campaign_normal_002
6006021, wave_campaign_normal_002
6006022, wave_campaign_normal_002
6006023, wave_campaign_normal_002
6006024, wave_campaign_normal_002
6006025, wave_campaign_normal_002
6006026, wave_campaign_normal_002
6006027, wave_campaign_normal_002
6006028, wave_campaign_normal_002
6006029, wave_campaign_normal_002
6006030, wave_campaign_normal_002
6006031, wave_campaign_normal_002
6006032, wave_campaign_normal_002
6006033, wave_campaign_normal_002
6006034, wave_campaign_normal_002
6006035, wave_campaign_normal_002
6006036, wave_campaign_normal_002
6006037, wave_campaign_normal_002
6006038, wave_campaign_normal_002
6006039, wave_campaign_normal_002
6006040, wave_campaign_normal_002
6007001, wave_campaign_normal_003
6007002, wave_campaign_normal_003
6007003, wave_campaign_normal_003
6007004, wave_campaign_normal_003
6007005, wave_campaign_normal_003
6007006, wave_campaign_normal_003
6007007, wave_campaign_normal_003
6007008, wave_campaign_normal_003
6007009, wave_campaign_normal_003
6007010, wave_campaign_normal_003
6007011, wave_campaign_normal_003
6007012, wave_campaign_normal_003
6007013, wave_campaign_normal_003
6007014, wave_campaign_normal_003
6007015, wave_campaign_normal_003
6007016, wave_campaign_normal_003
6007017, wave_campaign_normal_003
6007018, wave_campaign_normal_003
6007019, wave_campaign_normal_003
6007020, wave_campaign_normal_003
6007021, wave_campaign_normal_003
6007022, wave_campaign_normal_003
6007023, wave_campaign_normal_003
